"LIMS_ID","CNIH4"
"HOA11355A004",8.93110878596528
"HOA11355A020",8.9635411399117
"HOA11355A052",9.20115797890199
"HOA11355A054",9.28652862027932
"HOA11355A016",9.41326158646014
"HOA11355A167",8.86605480873739
"HOA11355A127",8.89705611808531
"HOA11355A159",9.2118601363355
"HOA11355A128",8.98868181454734
"HOA11355A169",9.17316911427861
"HOA11355A185",9.19213338441074
"HOA11355A099",9.05846386701881
"HOA11355A277",8.97143675612177
"HOA11355A213",8.9552699982609
"HOA11355A198",9.01334380439965
"HOA11355A230",9.25230822327701
"HOA11355A263",8.96260631218222
"HOA11355A264",8.99779359101106
"HOA11355A200",9.52102193334841
"HOA11355A256",9.05351860400905
"HOA11355A281",9.06297797654366
"HOA11355A211",9.07056967557588
"HOA11355A235",8.97962633345552
"HOA11355A355",9.27752240200081
"HOA11355A307",9.12772182161215
"HOA11355A341",9.35189419010507
"HOA11355A350",9.272050774438
"HOA11355A288",8.9715794685225
"HOA11355A321",8.97324385660053
"HOA11355A290",9.17091416172879
